cid,data_time,value
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-09-14,156270.98454
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-09-15,160438.13090380956
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-09-16,152585.83057333328
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-09-17,157459.14609079668
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-09-18,151368.15158666667
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-09-19,152635.16163999995
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-09-20,153687.14106000002
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-09-21,164518.27088666672
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-09-22,161333.14864666664
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-09-23,152129.4366866667
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-09-24,152444.04133999997
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-09-25,153593.5577933333
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-09-26,157354.50795333332
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-09-27,164866.31294000003
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-09-28,160173.53267333333
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-09-29,156249.81494
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-09-30,161116.07822
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-10-01,160991.64720666668
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-10-02,155511.48396907042
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-10-03,161650.54886557508
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-10-04,160411.30182234428
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-10-05,161693.77154666663
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-10-06,161918.73953333322
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-10-07,161603.64492666666
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-10-08,164123.1276333333
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-10-09,160808.59166095243
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-10-10,199152.06925761906
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-10-11,174576.73365428572
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-10-12,168117.6971161905
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-10-13,168626.5636957143
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-10-14,165968.3125142858
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-10-15,162596.95226542125
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-10-16,143965.7346152381
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-10-17,154061.9624976191
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-10-18,157059.11297285714
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-10-19,158379.63736047628
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-10-20,155771.5305004762
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-10-21,143262.5027101099
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-10-22,156031.90683142855
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-10-23,151176.80540000004
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-10-24,144092.50503000003
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-10-25,133674.84532190475
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-10-26,134678.11917380957
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-10-27,121776.96803142854
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-10-28,136440.5037209524
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-10-29,140564.9512733333
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-10-30,139659.1796180952
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-10-31,142230.28147095235
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-11-01,141863.18158571437
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-11-02,148947.79697238095
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-11-03,141076.99704761896
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-11-04,136694.1846561905
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-11-05,133437.49387619042
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-11-06,134222.5704458333
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-11-07,138254.6786128571
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-11-08,151165.99454047624
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-11-09,147800.57112428584
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-11-10,142543.63033238097
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-11-11,146370.90825761907
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-11-12,133384.54379095245
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-11-13,136275.21150047614
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-11-14,143445.5549338095
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-11-15,137668.25399952382
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-11-16,145508.0050557143
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-11-17,144932.52208923077
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-11-18,123520.68285190476
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-11-19,131638.29979517858
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-11-20,124618.01783201461
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-11-21,136478.99518376196
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-11-22,133055.30824095232
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-11-23,139705.58753615382
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-11-24,129522.657252381
